15.030896 	 797928 
15.052196 	 802388 
15.052658 	 787590 
15.073529 	 802264 
15.073992 	 787470 
15.074454 	 952260 
15.094863 	 802264 
15.095325 	 787590 
15.095787 	 952431 
15.116196 	 802388 
15.116658 	 787590 
15.117121 	 952431 
15.117583 	 952431 
15.118046 	 952260 
15.118507 	 932230 
15.137529 	 802264 
15.137992 	 787470 
15.138454 	 952260 
15.138916 	 952431 
15.139379 	 952431 
15.139841 	 932230 
15.140304 	 1156804 
15.140766 	 1156804 
15.141229 	 1156804 
15.158862 	 802388 
15.159325 	 787590 
15.159787 	 952431 
15.160250 	 952431 
15.160712 	 952431 
15.161175 	 932230 
15.161637 	 1156804 
15.162099 	 1157049 
15.162561 	 1156804 
15.163024 	 1128170 
15.163486 	 1159077 
15.163949 	 1159077 
15.180196 	 802264 
15.180658 	 787470 
15.181121 	 952431 
15.181583 	 952260 
15.182045 	 952431 
15.182508 	 932230 
15.182970 	 1156804 
15.183433 	 1156804 
15.183895 	 1156804 
15.184358 	 1127938 
15.184820 	 1159077 
15.185283 	 1159077 
15.185744 	 1159316 
15.186207 	 1159316 
15.186669 	 1159077 
15.188519 	 1159077 
15.223413 	 977933 
15.244196 	 726653 
15.245129 	 2433254 
15.247607 	 2320384 
15.248070 	 2320384 
15.248417 	 2355171 
15.255795 	 950898 
15.256258 	 950898 
15.256721 	 950898 
15.257068 	 950898 
15.266462 	 615281 
15.266925 	 652321 
15.268104 	 727150 
15.268451 	 739382 
15.277129 	 950898 
15.277592 	 950898 
15.278054 	 950898 
15.278401 	 950898 
15.287796 	 633366 
15.288259 	 633366 
15.288720 	 810481 
15.289067 	 825578 
15.298462 	 950898 
15.298924 	 950898 
15.299387 	 950898 
15.299734 	 950898 
15.309129 	 633441 
15.309591 	 633441 
15.310054 	 810357 
15.310401 	 825578 
15.319796 	 950898 
15.320258 	 950898 
15.320721 	 950898 
15.321068 	 950898 
15.330462 	 633366 
15.330925 	 633366 
15.331388 	 810357 
15.331735 	 825578 
15.341129 	 950898 
15.341592 	 950898 
15.342053 	 950898 
15.342402 	 950728 
15.351796 	 672191 
15.352258 	 672276 
15.352720 	 810357 
15.353067 	 825578 
15.362462 	 950898 
15.362925 	 950898 
15.363387 	 950898 
15.363734 	 950898 
15.373129 	 716086 
15.373591 	 716086 
15.374054 	 810357 
15.374401 	 825578 
15.383796 	 950898 
15.384258 	 950898 
15.384721 	 950898 
15.385068 	 950898 
15.394463 	 766116 
15.394925 	 766116 
15.395388 	 810357 
15.395735 	 825578 
